row,subject,nearest_neighbour_cos,cluster_09
255,11,0.9164,7
256,11,0.9584,8
257,11,0.9194,65
258,11,0.9719,7
259,12,0.9311,7
260,12,0.9304,121
261,12,0.938,47
262,12,0.9339,129
263,12,0.879,130
264,12,0.9679,47
265,12,0.9148,46
266,12,0.8848,131
267,12,0.9005,36
268,12,0.9208,132
269,12,0.9449,133
270,12,0.9329,52
271,12,0.8997,134
272,12,0.9531,47
273,12,0.8615,135
274,12,0.9271,60
275,12,0.8887,136
276,12,0.9741,20
277,12,0.8752,137
278,12,0.9249,83
279,12,0.9432,138
280,12,0.9362,44
281,12,0.9339,46
282,12,0.9305,81
283,12,0.9317,83
284,12,0.9768,47
285,12,0.9237,84
286,12,0.9069,139
287,12,0.9028,140
288,12,0.9174,119
289,12,0.879,141
290,12,0.9086,47
291,12,0.9402,43
292,12,0.9262,49
293,12,0.9423,47
294,12,0.9503,123
295,12,0.9471,36
296,12,0.9952,33
297,12,0.9594,65
298,12,0.9114,39
299,13,0.9605,0
300,13,0.8418,142
301,13,0.9159,42
302,13,0.9289,9
303,13,0.9289,42
304,13,0.9531,47
305,13,0.9538,47
306,13,0.9662,20
307,13,0.9444,7
308,13,0.9379,0
309,13,0.954,7
310,13,0.9449,133
311,13,0.9719,7
312,14,0.9963,115
313,14,0.969,115
314,14,0.9476,44
315,14,0.9362,143
316,14,0.9239,77
317,14,0.905,144
318,14,0.9282,83
319,14,0.9423,47
320,14,0.8913,145
321,14,0.8101,146
322,14,0.9118,60
323,14,0.9594,48
324,14,0.9659,122
325,14,0.9479,60
326,14,0.9138,1
327,14,0.8968,147
328,14,0.9518,148
329,14,0.8671,149
330,14,0.8817,150
331,14,0.9614,35
332,14,0.9633,35
333,14,1.0,45
334,14,0.9237,151
335,14,1.0,45
336,14,0.9614,35
337,14,0.9293,152
338,14,0.8417,153
339,14,0.8752,154
340,14,0.9516,35
341,14,0.9802,78
342,14,0.9861,45
343,14,0.9455,78
344,14,0.9432,138
345,14,0.9367,155
346,14,0.8879,156
347,14,0.9379,78
348,14,0.9945,35
349,14,0.9633,105
350,14,0.8865,157
351,14,0.8998,158
352,14,0.9692,35
353,14,0.9445,155
354,14,0.9368,78
355,14,0.8119,159
356,14,0.9396,138
357,14,0.9942,45
358,14,1.0,45
359,14,0.9424,57
360,14,0.9005,160
361,14,0.9982,40
362,14,0.961,40
363,14,0.9985,40
364,14,0.9927,40
365,14,0.9985,40
366,14,0.9984,40
367,14,0.9984,40
368,14,0.9513,161
369,14,0.9997,64
370,14,0.9106,64
371,14,0.9214,88
372,14,0.9492,45
373,14,0.9513,161
374,14,0.8824,162
375,14,0.9694,0
376,14,0.9788,163
377,14,0.8852,164
378,14,0.9659,29
379,14,0.9286,165
380,14,0.8695,166
381,14,0.8987,167
382,14,0.9012,168
383,14,0.9049,169
384,14,1.0,39
385,14,0.9625,30
386,14,0.953,65
387,14,0.9401,7
388,14,0.9993,0
389,14,0.9973,115
390,14,0.9648,0
391,14,0.9364,8
392,14,0.9502,170
393,14,0.9244,171
394,14,0.9318,108
395,15,0.8999,172
396,15,0.9657,0
397,15,1.0,115
