percentile,precision,recall,f1
1,0.577247191011236,0.9895666131621188,0.7291543465405086
2,0.5804162724692526,0.9847512038523274,0.7303571428571428
3,0.5809842331581462,0.9759229534510433,0.7283617849655586
4,0.5847416706904877,0.9719101123595506,0.7301778715706964
5,0.5878048780487805,0.9670947030497592,0.7311893203883495
6,0.5892504930966469,0.9590690208667737,0.7299938912645082
7,0.5909317389138017,0.9518459069020867,0.7291730710113741
8,0.5929471032745592,0.9446227929373997,0.7285670071185392
9,0.5955170657157413,0.9382022471910112,0.7285758803365534
10,0.5988671472708548,0.9333868378812199,0.7296110414052698
11,0.5989583333333334,0.9229534510433387,0.7264687302590019
12,0.6029489204844655,0.9189406099518459,0.7281399046104928
13,0.6068193926478423,0.9141252006420546,0.7294268331732309
14,0.609375,0.9077046548956661,0.7292069632495164
15,0.6128680479825518,0.9020866773675762,0.7298701298701299
16,0.6175496688741722,0.8980738362760835,0.7318508829300197
17,0.6186487995533222,0.8892455858747994,0.7296674349687191
18,0.6212549462973431,0.8820224719101124,0.7290215588723051
19,0.6241418764302059,0.8756019261637239,0.7287909151636607
20,0.626882966396292,0.8683788121990369,0.7281292059219381
21,0.6299120234604105,0.8619582664526485,0.7278888512368689
22,0.6333927510398099,0.85553772070626,0.7278934790030728
23,0.6357615894039735,0.8475120385232745,0.7265221878224974
24,0.6390243902439025,0.841091492776886,0.7262647262647263
25,0.6415327564894932,0.8330658105939005,0.7248603351955307
26,0.6430807764558547,0.8242375601926164,0.7224762574744987
27,0.6444444444444445,0.8146067415730337,0.7196029776674938
28,0.646074646074646,0.8057784911717496,0.7171428571428572
29,0.6488250652741514,0.797752808988764,0.7156227501799856
30,0.6509933774834437,0.7889245585874799,0.7133526850507983
31,0.6521155137676293,0.7792937399678973,0.710054844606947
32,0.656441717791411,0.7728731942215088,0.7099152230003686
33,0.661134163208852,0.7672552166934189,0.7102526002971769
34,0.6657303370786517,0.7608346709470305,0.7101123595505618
35,0.6707056307911617,0.7552166934189406,0.7104567761419404
36,0.6727009413468501,0.7455858747993579,0.7072706509326228
